abdome 	barriga
abdômem 	barriga
abdominocentese 	procedimento realizado no abdômem (barriga) para retirar líquido ou pus
abdução 	movimento que afasta os membros, como pernas e braços, do centro do corpo; serve para testar até onde os braços e pernas conseguem ir
ablação 	o médico queima as células doentes para melhorar os sintomas da doença
abordagem multidisciplinar 	participação de vários médicos e outros profissionais de saúde no diagnóstico e escolha do tratamento de uma doença
abscesso 	bolsa de pus que se forma nos tecidos, órgãos ou espaços dentro do corpo
acatisia 	tremor, agitação e dificuldade para ficar sentado ou parado
acetilcolina 	mensageiro químico (transmissor) envolvido em muitas funções do cérebro, como a memória e o controle dos movimentos
acidente vascular cerebral 	derrame ou AVC
acidente vascular encefálico 	o mesmo que AVC; derrame
ácido desoxirribonucleico 	o mesmo que DNA; conjunto de moléculas que carrega a informação genética de todos os seres vivos, características da espécie e do indivíduo
ácido gama aminobutírico 	mensageiro químico que regula a agitação do cérebro e do corpo, o que leva a uma sensação de calma; o mesmo que GABA
ácido úrico 	substância produzida pelo fígado, mas que pode ter as quantidades aumentadas pela alimentação; quantidades muito altas de ácido úrico podem causar problemas de saúde como gota, pedras nos rins, pressão alta, entre outros
acidose 	condição anormal que causa um quantidade grande de ácido no sangue
acinesia 	paralisia, falta de movimento, incapacidade de se mover bem
acometer 	atingir, afetar
acometer 	pessoa que sofre com os sintomas e/ou consequências de uma doença
acompanhamento clínico 	acompanhamento do paciente pelo profissional de saúde
acuidade 	capacidade que a pessoa tem de perceber estímulos dos cinco sentidos (audição, olfato, paladar, tato, visão)
acuidade mental 	capacidade que a pessoa tem de entender e usar as informações obtidas através dos sentidos (audição, olfato, paladar, tato, visão)
acuidade olfativa 	capacidade do nariz para identificar cheiros; o mesmo que acuidade olfatória
acuidade olfatória 	capacidade do nariz para identificar cheiros; o mesmo que acuidade olfativa
acuidade visual 	capacidade do olho para identificar o contorno e a forma de objetos e pessoas
acupuntura 	terapia de origem chinesa; o profissional aplica agulhas em pontos específicos do corpo para tratar doenças e promover saúde
adenite 	íngua, caroço causado por inflamação
adenomegalia 	aumento de uma glândula (*Ver glândula no glossário)
adenosina 	remédio utilizado para tratar problemas no coração, como batimentos cardíacos fora do normal
adesão a o tratamento 	quando o paciente concorda com o tratamento e segue as recomendações do profissional de saúde 
adh 	substância presente no corpo humano que evita que o corpo perca muita água
administração de medicamento 	uso de remédios conforme recomendação do médico
administrar medicamento 	dar remédios ao paciente de acordo com as recomendações do médico
adrenalina 	substância que ativa diferentes sistemas do corpo, mantendo o corpo alerta
adrenoreceptores 	a pesquisar
adstringente 	o que causa contração ou sensação de amarramento, como sabor de fruta verde.
adução 	movimento que aproxima os membros, como pernas e braços, do centro do corpo (tronco)
afagia 	dificuldade para engolir
afasia 	perda da capacidade de expressar ou compreender a linguagem falada ou escrita
afebril 	sem febre
afonia 	sem voz
afônico 	sem voz
agente colinérgico 	substância que imita a ação da acetilcolina (*Ver acetilcolina no glossário)
agente neuroprotetor 	substâncias ou remédios usados para tentar proteger os neurônios
agente patogênico 	organismos como bactérias, vírus, fungos etc. que podem causar doenças; o mesmo que patógeno
ageusia 	perda da capacidade ou difficuldade para sentir gostos
agnosia 	perda da capacidade ou dificuldade de identificar objetos pela ao ouvir, pelo cheiro, pelo gosto, pelo toque e/ou pela visão
agnosia auditivo 	perda da capacidade ou dificuldade de identificar objetos por meio do som, como um telefone tocando
agnosia gustativo 	perda da capacidade ou dificuldade para sentir ou identificar o gosto de alimentos que a pessoa antes conhecia
agnosia olfativa 	perda da capacidade ou dificuldade para sentir ou identificar cheiros que a pessoa antes conhecia, como o cheiro de café
agnosia tátil 	perda da capacidade ou dificuldade para indentificar objetos antes conhecidos pelo tato (toque)
agnosia visual 	perda da capacidade ou dificuldade para reconhecer pessoas ou objetivos antes conhecidos pela visão (ver/olhos)
agonista de o dopamina 	remédio que imita o efeito da dopamina (*Ver dopamina no glossário)
agrotóxico 	produtos usados na agricultura para combater insetos, doenças ou plantas daninhas
ait 	ataque isquêmico transitório: o sangue não chega até o cérebro por um curto espaço de tempo
alcalinidade 	quantidade de substâncias presentes na água ou outros líquidos capazes de neutralizar ácidos
alcoolismo 	doença caracterizada pelo consumo incontrolável de bebidas alcoólicas; a pessoa bebe muito, a toda hora, sem controle 
alelo 	variação do gene; um único gene possui muitos alelos e são os alelos que determinam como as características vão aparecer na pessoa. Existe um gene para cor dos olhos, mas são os alelos que vão determinar se os olhos são azuis, verdes, castanhos etc.
alexia 	perda da capacidade ou dificuldade para leitura e escrita
alfa sinucleina 	proteína que mais se acumula no cérebro da pessoa com Doença de Parkinson, destruindo células importantes
alimento protéico 	alimentos ricos em proteína, como carnes brancas, vermelhas e frutos do mar, leite, ovos etc.
alopecia 	perda de cabelo
alta hospitalar 	documento entregue ao paciente, feito  por um hospital, que declara que o paciente internado já pode retornar para a sua casa ou lugar de moradia
alterações bioquímica 	mudanças de substâncias químicas do corpo
alucinações 	quando uma pessoa vê, cheira, ouve, sente ou prova algo que não existe
alzheimer 	doença no cérebro, sem cura, que vai piorando com o tempo e destrói a memória e outras funções importantes do cérebro da pessoa
amantadina 	remédio usado para tratar músculos rígidos (duros) e movimentos lentos
amaurose 	cegueira total
ambliopia 	baixa visão em um ou nos dois olhos; olho preguiçoso
amígdala 	parte do cérebro que comanda as nossas emoções básicas (felicidade, tristeza, medo, surpresa, raiva e nojo) e o nosso instinto de sobrevivência, além da nossas lembranças emocionais, como momentos bons e ruis que tivemos 
amimia 	perda da capacidade de fazer gestos ou sinais para representar ideias e sentimentos
aminar 	substâncias orgânicas importantes na formação da proteína; existem diferentes tipos de aminoácidos, alguns são produzidos pelo nosso corpo e outros podem ser consumidos pela alimentação; os aminoácidos são importantes para os nossos músculos, células etc.
amnésia 	perda de memória por períodos mais longos de tempo
ams 	Atrofia Multissistêmica (*Ver Atrofia Multissistêmica no glossário)
amusia 	dificuldade para compreender sons musicais por lesão no cérebro
anabólico 	relacionado ao anabolismo (*Ver anabolismo no glossário)
anabolismo 	processo que constrói moléculas complexas a partir de moléculas simples, como na construção dos músculos do corpo
analgesia 	técnica em que são utilizados remédios que aliviam a dor, mas sem que o paciente fique inconsciente, sem perda dos sentidos
anamnese 	entrevista feita pelo profissional de saúde com o paciente para buscar o diagnóstico de uma doença
anatomia 	descrição dos elementos que constituem o corpo
anatomopatologia 	especialidade médica que estuda o diagnóstico das doenças baseado nos aspectos dos tecidos dos órgãos e das células
ancilose 	rigidez (endurecimento) em uma articulação do corpo
anemia 	condição em que a quantidade de glóbulos vermelhos (*Ver glóbulos vermelhos no glossário) no sangue fica muito baixa, podendo causar cansaço, palidez, falta de ar, tonturas ou batimento acelerado do coração 
anemia falciforme 	doença em que os glóbulos vermelhos (*Ver glóbulos vermelhos no glossário) do sangue ficam no formato de uma foice e se quebram, causando anemia
anestesia 	técnica usada em cirurgias e outros procedimentos para que o paciente não sinta dor; dependendo do tipo de anestesia o paciente pode ficar acordado ou inconsciente (perda dos sentidos)
anestesia geral 	técnica usada em cirurgias; o médico aplica medicamentos e o paciente perde os sentidos, as sensações e os reflexos, não sentindo dor
anestesia local 	técnica em que o médico aplicada pequenas quantidades de anestésico (remédio que tira ou diminui a sensibilidade e a dor) apenas no local da lesão (machucado) ou da intervenção. Um dentista faz anestesia local para arrancar um dente.
anestesia peridural 	tipo de anestesia que bloqueia a dor e as sensações de apenas uma região do corpo, geralmente da cintura para baixo. Neste tipo de anestesia, a pessoa pode ficar acordada, como as mulheres que recebem anestesia pridural na hora do parto.
anestesia raquidiano 	tipo de anestesia que bloqueia a dor e as sensações de apenas uma região do corpo, geralmente da cintura para baixo  Neste tipo de anestesia, a pessoa pode ficar acordada, como as mulheres que recebem anestesia raquidiana na hora do parto.
anestésico 	medicamento que reduz ou tira a sensibilidade, reduzindo ou eliminando a dor
anestesiologia 	especialidade médica que estuda como aliviar ou tirar a dor de pacientes que precisam fazer cirurgias ou exames
