abdome 	parte do corpo situada entre o tórax e a pelve; barriga
abdômem 	parte do corpo situada entre o tórax e a pelve; barriga
abdominocentese 	punção cirúrgica no abdômem para a retirada de líquido ou pus
abdução 	movimento de afastamento dos membros do eixo do corpo; método utilizado para testar a amplitude dos movimentos dos membros inferiores ou superiores do corpo.
ablação 	técnica cirúrgica em que o médico produz uma lesão no cérebro para melhorar os sintomas da doença
abordagem multidisciplinar 	participação de vários especialistas no diagnóstico e escolha do tratamento
abscesso 	acúmulo de pus em tecidos, órgãos ou espaços dentro do corpo
acatisia 	sensação de tremor muscular, agitação e incapacidade de ficar sentado e parado
acetilcolina 	substância química que transmite os impulsos nervosos entre as células do sistema nervoso e as células musculares
acidente vascular cerebral 	derrame cerebral ou AVC
acidente vascular encefálico 	o mesmo que AVC; derrame
ácido desoxirribonucleico 	conjunto de moléculas que carrega a informação genética de todos os seres vivos (características da espécie e do indivíduo); o mesmo que DNA
ácido gama aminobutírico 	neurotransmissor que regula a agitação cerebral por meio da inibição do disparo excessivo dos neurônios, o que leva a uma sensação de calma; o mesmo que GABA
ácido úrico 	composto produzido pelo fígado, mas alimentos ricos em purina (*definição de purina) podem aumentar as concentrações de ácido úrico no organismo e causar problemas de saúde como gota, pedras nos rins, pressão alta, entre outros
acidose 	condição anormal caracterizada pela redução da alcalinidade do sangue e dos tecidos sanguíneos
acinesia 	paralisia, incapacidade de se mover ou dificuldade para iniciar ou manter os movimentos
acometer 	atingir, afetar
acometer 	aquele que sofre com os sintomas e/ou consequências de uma doença
acompanhamento clínico 	acompanhamento do paciente pelo profissional de saúde
acuidade 	capacidade de percepção dos minúsculos estímulos de um dos cinco sentidos 
acuidade mental 	capacidade de adquirir, interpretar, selecionar e organizar os dados e informações que são alcançados através dos sentidos
acuidade olfativa 	capacidade para distinguir cheiros; o mesmo que acuidade olfatória
acuidade olfatória 	capacidade para distinguir cheiros; o mesmo que acuidade olfativa
acuidade visual 	capacidade do olho para distinguir detalhes espaciais, ou seja, identificar o contorno e a forma de objetos e pessoas
acupuntura 	terapia milenar chinesa que consiste na aplicação de agulhas em pontos específicos do corpo para tratar doenças e promover saúde
adenite 	inflamação de uma glândula (*Ver glândula no glossário); íngua
adenomegalia 	aumento de uma glândula (*Ver glândula no glossário)
adenosina 	medicamento utilizado para tratar taquicardia em pacientes com problemas cardíacos, como batimentos cardíacos irregulares
adesão a o tratamento 	quando há concordância entre o comportamento do paciente e as recomendações e o tratamento indicado pelo profissional de saúde 
adh 	hormônio antidiurético existente no corpo humano que previne a perda excessiva de água
administração de medicamento 	uso de medicamentos conforme recomendação médica
administrar medicamento 	dar medicamentos ao paciente de acordo com procedimentos pré-estabelecidos
adrenalina 	substância produzida nas glândulas suprarrenais (acima dos rins) que tem a função de manter o corpo alerta
adrenoreceptores 	o mesmo que receptores adrenérgicos* (sem definição)
adstringente 	qualidade do que que causa contração ou sensação de amarramento espacielmente nas mucosas
adução 	movimento que aproxima os membros, como pernas e braços, do eixo do corpo
afagia 	incapacidade ou dificuldade de engolir
